Date,Arrival,Connected_time,Energy_required,starttime_parking,month,day,ts_arr,ts_dep,laxity,soc_arr,session,split,endtime_parking
2019-01-01,6.448979591836735,2.4998847871545355,9.238600395562376,2019-01-01 06:00:00,1,1,166566.0,166569.0,0.4748671840904697,0.6297383530561907,35,6,2019-01-01 09:00:00
2019-01-01,7.009009009009009,0.4038928823656802,3.928531401538424,2019-01-01 07:00:00,1,1,166567.0,166568.0,0.6929724839000659,0.928628042205534,62,6,2019-01-01 08:00:00
2019-01-01,7.072072072072071,8.64029847004333,13.059017859814666,2019-01-01 07:00:00,1,1,166567.0,166576.0,3.100524709953836,0.1750457046662794,69,6,2019-01-01 16:00:00
2019-01-01,7.234234234234234,3.763335196053057,6.552469994256479,2019-01-01 07:00:00,1,1,166567.0,166571.0,1.7071905321779974,0.6610439242109851,87,6,2019-01-01 11:00:00
2019-01-01,7.711711711711711,8.606799039377151,5.3531506233626605,2019-01-01 07:00:00,1,1,166567.0,166576.0,2.5339629709609097,0.0987015103369827,140,6,2019-01-01 16:00:00
2019-01-01,8.675675675675675,6.979547186943878,9.287051862188497,2019-01-01 08:00:00,1,1,166568.0,166575.0,0.8780219429160878,0.1450634568079429,221,6,2019-01-01 15:00:00
2019-01-01,9.020833333333334,2.89404383583558,5.481460928285147,2019-01-01 09:00:00,1,1,166569.0,166572.0,0.1760681302089191,0.5894751805456518,245,6,2019-01-01 12:00:00
2019-01-01,9.145833333333334,1.4108568685943337,1.9653528962030664,2019-01-01 09:00:00,1,1,166569.0,166571.0,0.3132612371923011,0.7427119517116626,251,6,2019-01-01 11:00:00
2019-01-01,10.2,2.5343972007017137,4.5084685396489546,2019-01-01 10:00:00,1,1,166570.0,166573.0,0.6920291306426662,0.6590009253540993,300,6,2019-01-01 13:00:00
2019-01-01,10.6,3.928250007549375,8.590044312743291,2019-01-01 10:00:00,1,1,166570.0,166574.0,0.3387188056857106,0.4766423590661495,318,6,2019-01-01 14:00:00
2019-01-01,12.29310344827586,22.29599262795465,4.933053691068518,2019-01-01 12:00:00,1,1,166572.0,166595.0,22.32540470285111,0.8790982837091869,406,6,2019-01-02 11:00:00
2019-01-01,12.689655172413794,4.729769383992352,9.545047402362716,2019-01-01 12:00:00,1,1,166572.0,166577.0,1.957951018368252,0.560083899725122,429,6,2019-01-01 17:00:00
2019-01-01,13.135135135135137,4.18535427321357,2.86285755806317,2019-01-01 13:00:00,1,1,166573.0,166578.0,0.5512370404980009,0.3705291912071056,451,6,2019-01-01 18:00:00
2019-01-01,15.066666666666666,19.30353278041767,7.062269403646102,2019-01-01 15:00:00,1,1,166575.0,166595.0,18.426590669991253,0.7579830927813211,526,6,2019-01-02 11:00:00
2019-01-01,16.197916666666668,3.293833327676165,5.638729435113082,2019-01-01 16:00:00,1,1,166576.0,166580.0,0.5256645447610757,0.5018332974065549,586,6,2019-01-01 20:00:00
2019-01-01,16.625,15.077775042368163,11.400768756758554,2019-01-01 16:00:00,1,1,166576.0,166592.0,13.156928364266978,0.5868960970849753,627,6,2019-01-02 08:00:00
2019-01-01,17.058823529411764,1.4984868063617225,14.382233994209065,2019-01-01 17:00:00,1,1,166577.0,166579.0,0.741516781668359,0.8004193863298114,668,6,2019-01-01 19:00:00
2019-01-01,17.735294117647058,12.486312924218623,4.5928268072161735,2019-01-01 17:00:00,1,1,166577.0,166590.0,7.5371705691718835,0.2338837341959113,737,6,2019-01-02 06:00:00
2019-01-01,17.784313725490197,1.891007839948801,8.231003800383489,2019-01-01 17:00:00,1,1,166577.0,166579.0,0.2954518785899926,0.7403121406400015,742,6,2019-01-01 19:00:00
2019-01-01,18.37037037037037,12.723636462801238,2.832138075246121,2019-01-01 18:00:00,1,1,166578.0,166591.0,6.90001371349157,0.1480268478929891,793,6,2019-01-02 07:00:00
